name,link,time_prepare,time_wait,rating,tags,servings,ingredients,equipment,steps,image
Gestoofde eendenbout met polenta en rodekoolsalade,https://www.ah.nl/allerhande/recept/R-R1199537/gestoofde-eendenbout-met-polenta-en-rodekoolsalade,40 min. bereiden,2 uur oventijd,0.0,"['vooraf te maken', 'oven', 'hoofdgerecht', 'kerst', 'kerstdiner']",4 personen,"[('4', 'eendenbouten van de vakslager'), ('3 el', 'milde olijfolie'), ('200 g', 'winterpenen'), ('8', 'sjalotten'), ('2 tenen', 'knoflook'), ('2', 'mandarijnen'), ('1 stukje', 'steranijs'), ('1', 'kaneelstokje'), ('½ tl', 'gemalen kruidnagel'), ('2', 'laurierbladen'), ('3 takjes', 'verse tijm'), ('300 ml', 'rode wijn'), ('200 ml', 'kippenfond'), ('½', 'rode kool'), ('3 el', 'rodewijnazijn'), ('½ tl', 'zout'), ('1.3 l', 'water'), ('1', 'kippenbouillontablet'), ('250 g', 'polenta'), ('50 g', 'ongezouten roomboter')]","['Ovenbestendige gietijzeren braadpan', 'dunschiller']","['Verwarm de oven voor op 160 °C. Bestrooi de eendenbouten eventueel met zout. Verhit ⅔ van de olie in de ovenvaste braadpan op laag vuur en bak de eendenbouten 10 min. met de huid naar beneden lichtbruin en krokant. Beweeg het vlees niet te veel in de pan. Keer het vlees om en bak 3 min. op hoog vuur. Haal de eendenbouten uit de pan en laat met de huid naar boven rusten op een bord. Giet het vrijgekomen vet uit de pan, maar laat 2 el (per 4 personen) in de pan.', 'Schil en snijd ondertussen de winterpeen in stukken van 2 cm. Pel de sjalotten, maar laat de onderkant zitten. Maak de knoflook schoon en druk plat met de zijkant van een mes. Boen de mandarijnen schoon, schil met de dunschiller de oranje schil en bewaar deze. Pers de vruchten uit.', 'Verhit het achtergebleven vet in de braadpan op middelhoog vuur en bak de peen, sjalot en knoflook 5 min. Voeg de steranijs, het kaneelstokje, de gemalen kruidnagel, laurierblaadjes, ⅔ van de tijm en de mandarijnschillen toe en bak nog 2 min. mee. Voeg de wijn, fond en het mandarijnensap toe en breng aan de kook. Breng op smaak met peper.', 'Voeg de eendenbouten met de huid naar boven toe aan de saus. Het vlees moet een stukje boven de saus uitsteken, zodat de huid krokant wordt. Zet de pan in de oven en stoof 2 uur zonder deksel.', 'Verwijder ondertussen de harde stronk van de rodekool. Snijd in flinterdunne reepjes, eventueel met een mandoline. Meng de rodekool, azijn, de rest van de olie en het zout en ‘masseer’ met je handen de kool 3 min. tot hij wat zachter is geworden. Breng op smaak met peper. Bewaar afgedekt in de koelkast tot gebruik.', 'Ris de blaadjes van de rest van de tijm en snijd fijn. Breng het water aan de kook en verkruimel het bouillonblokje erboven. Voeg de polenta toe en laat al roerend 10 min. koken. Voeg de boter toe aan de polenta, roer door en breng op smaak met peper en eventueel zout. Laat met de deksel op de pan staan.', 'Haal de pan uit de oven en verwijder de laurierblaadjes, steranijs, het kaneelstokje en de tijmtakjes. Deze gebruik je verder niet.', 'Verdeel de polenta over de borden en schep de rodekool erop. Leg de eendenbouten op de kool en schep er wat saus, peen en sjalot naast. Garneer met de fijngesneden tijmblaadjes. Serveer de rest van de saus in een kommetje erbij.']",https://static.ah.nl/static/recepten/img_RAM_PRD183677_1224x900_JPG.jpg
Zalm met citrusvruchten en gremolata,https://www.ah.nl/allerhande/recept/R-R1199536/zalm-met-citrusvruchten-en-gremolata,15 min. bereiden,25 min. oventijd,4.5,"['gezond', 'vooraf te maken', 'oven', 'hoofdgerecht', 'kerst', 'kerstdiner']",4 personen,"[('1', 'citroen'), ('1', 'sinaasappel'), ('½', 'grapefruit'), ('2 tenen', 'knoflook'), ('2 el', 'milde olijfolie'), ('580 g', 'verse zalmfilets'), ('30 g', 'verse peterselie')]",['bakpapier'],"['Verwarm de oven voor op 160 °C. Boen de vruchten schoon. Rasp de gele schil van de citroen en de oranje schil van de sinaasappel. Pers een halve citroen uit en snijd de andere helft in dunne plakjes. Snijd ook de sinaasappel en de halve grapefruit in plakjes. Snijd de knoflook fijn.', 'Meng de olie met 1 el citroensap (per 4 personen) en de helft van de knoflook. Leg de zalm op een met bakpapier beklede bakplaat. Bestrooi met peper en eventueel zout. Bestrijk met de knoflook-citroenolie. Verdeel de plakjes grapefruit, sinaasappel en citroen erover en bak de zalm ca. 25 min. in de oven.', 'Snijd ondertussen de peterselie zo fijn mogelijk. Meng de peterselie, de rest van de knoflook, het citroen- en sinaasappelrasp door elkaar en breng op smaak met peper (gremolata).', 'Leg de zalm op een schaal en verdeel een deel van de gremolata erover. Serveer de rest erbij.']",https://static.ah.nl/static/recepten/img_RAM_PRD183767_1224x900_JPG.jpg
Kalkoenrollade-krans met salie en ui-stuffing,https://www.ah.nl/allerhande/recept/R-R1199535/kalkoenrollade-krans-met-salie-en-ui-stuffing,30 min. bereiden,52 min. oventijd,4.5,"['lactosevrij', 'vooraf te maken', 'oven', 'hoofdgerecht', 'kerst', 'kerstdiner']",6 personen,"[('1', 'afbakciabattina'), ('5 el', 'milde olijfolie'), ('80 g', 'pancetta'), ('15 g', 'verse salie'), ('100 g', 'bleekselderij'), ('2', 'middelgrote uien'), ('3 tenen', 'knoflook'), ('500 g', 'kalkoenschnitzels'), ('250 g', 'diepvries cranberry’s'), ('½ tl', 'gemalen kaneel'), ('50 g', 'lichte basterdsuiker'), ('100 ml', 'water')]","['bakpapier', 'keukentouw', 'aluminiumfolie', 'braadslee']","['Verwarm de oven voor op 190 °C. Snijd de ciabattina in stukjes van 1 cm, verdeel over ⅓ van een bakplaat en besprenkel met ⅖ van de olie. Verdeel de pancetta en de blaadjes van de salie over het andere deel. Rooster 10-12 min. tot alles knapperig is.', 'Snijd ondertussen de bleekselderij in blokjes van een ½ cm, snipper de uien en snijd de knoflook fijn. Verhit ⅖ van de olie in een koekenpan en bak de selderij en ui 7 min. op middelhoog vuur, roer regelmatig. Breng op smaak met peper en eventueel zout. Voeg de knoflook toe en bak nog 3 min. mee.', 'Leg een stuk bakpapier op de kalkoenschnitzels en druk het vlees met de achterkant van een pan plat, tot een dikte van 1 cm. Leg de schnitzels 1 cm overlappend als een grote lap naast elkaar, zodat je een vierkant krijgt (van 23 x 23 cm).', 'Haal de ciabattina, pancetta en salie uit de oven. Bewaar de helft van de blaadjes salie en schep de rest met het brood en de pancetta door het ui selderijmengsel. Kneed en meng alles goed tot een plakkerig mengsel.', 'Verdeel de vulling over de kalkoen, maar laat rondom 1 cm vrij. Rol de rollade stevig op en bind op met keukentouw: bind 4 stukjes touw vast in de breedte en 1 stuk in de lengte. Bestrijk met de rest van de olie.', 'Leg de rollade in de braadslee. Dek af met aluminiumfolie en braad in ca. 40 min. gaar in de oven. Verwijder na 30 min. de folie.', 'Breng ondertussen de cranberry’s met de kaneel, de basterdsuiker en het water in een steelpan aan de kook. Laat 10-15 min. zachtjes koken en iets indikken. Haal de kalkoenrollade uit de oven. Laat, afgedekt met aluminiumfolie, 10 min. rusten.', 'Snijd de rollade in 10-12 plakken (per rollade). Verdeel de cranberrysaus in een cirkel over een grote platte schaal. Leg daar de plakken rollade op en verdeel de blaadjes salie erover.']",https://static.ah.nl/static/recepten/img_RAM_PRD183695_1224x900_JPG.jpg
"Gevulde flespompoen met noten, kaas en salie",https://www.ah.nl/allerhande/recept/R-R1199534/gevulde-flespompoen-met-noten-kaas-en-salie,15 min. bereiden,1 uur 10 min. oventijd,4.5,"['vegetarisch', 'glutenvrij', 'vooraf te maken', 'budget', 'oven', 'hoofdgerecht', 'kerst', '5 ingrediënten', 'kerstdiner', 'vegetarische kerst']",4 personen,"[('1.2 kg', 'flespompoen'), ('1 el', 'milde olijfolie'), ('7.5 g', 'verse salie'), ('100 g', 'ongezouten cranberry notenmix'), ('100 g', 'oude kaas 48+'), ('125 g', 'crème fraîche')]",['bakpapier'],"['Verwarm de oven voor op 200 °C. Halveer de pompoen in de lengte en verwijder de zaden en draderige binnenkant met een lepel. Prik het vruchtvlees een paar keer in met een vork. Besprenkel met de olie en leg met de snijkant naar boven op een met bakpapier beklede bakplaat. Rooster ca. 45 min. in de oven tot het vruchtvlees zacht is.', 'Pluk de blaadjes van de takjes salie. Houd 6 blaadjes (per 4 personen) achter, snijd de rest fijn. Hak de noten grof en meng met de cranberry’s door de salie.  Rasp de kaas en meng met de crème fraîche.', 'Neem de pompoen uit de oven en zet de oven op 180 °C. Laat de pompoen 5 min. afkoelen. Schep het vruchtvlees met een lepel uit de schil, maar laat langs de schil 1 cm zitten. Snijd het vruchtvlees in stukjes en schep het salie-notenmengsel erdoor. Breng op smaak met peper en eventueel zout.', 'Vul de pompoenhelften met de noten-pompoenvulling en duw goed aan. Verdeel het kaasmengsel erover en laat 2 cm van de randen vrij. Verdeel de achtergehouden blaadjes salie erover en bak nog 20-25 min. in de oven.']",https://static.ah.nl/static/recepten/img_RAM_PRD183679_1224x900_JPG.jpg
Gehaktbroodkrans met spek en mosterdsaus,https://www.ah.nl/allerhande/recept/R-R1199533/gehaktbroodkrans-met-spek-en-mosterdsaus,30 min. bereiden,45 min. oventijd,4.0,"['vooraf te maken', 'budget', 'oven', 'hoofdgerecht', 'kerst', 'kerstdiner']",8 personen,"[('3', 'middelgrote uien'), ('75 g', 'ongezouten roomboter'), ('1', 'laurierblad'), ('150 g', 'ontbijtspek'), ('15 g', 'verse peterselie'), ('1 kg', 'half-om-halfgehakt'), ('1 tl', 'gemalen nootmuskaat'), ('100 g', 'kruidenpaneermeel'), ('1', 'scharrelei'), ('1', 'sjalot'), ('190 ml', 'vleesfond'), ('15 g', 'verse rozemarijn'), ('2 el', 'grove Zaanse mosterd'), ('50 ml', 'verse slagroom'), ('1 el', 'cremaceto balsamico')]",['siliconen kransvorm L (Ø 24 cm)'],"['Snipper de uien. Smelt ⅔ van de boter in een hapjespan op middelhoog vuur en bak de ui met het laurierblaadje 8-10 min. tot gekaramelliseerd en zacht. Roer af en toe door. Verwijder het laurierblaadje.', 'Snijd ondertussen de plakjes ontbijtspek in de breedte doormidden. Verdeel de plakjes over de bakvorm, zodat de bodem en zijkanten helemaal bedekt zijn. De plakjes mogen elkaar een beetje overlappen. Snijd de peterselie fijn.', 'Verwarm de oven voor op 190 °C. Meng het gehakt met de gekaramelliseerde ui, peterselie, nootmuskaat, het paneermeel, ei, peper en eventueel zout Verdeel het gehaktmengsel over de bakvorm en maak de bovenkant glad. Vouw eventueel uitstekende stukjes spek over het gehakt. Bak het gehaktbrood ca. 45 min. in de oven.', 'Snipper ondertussen de sjalot. Verhit de rest van de boter in een steelpan en fruit de sjalot 4-5 min. op middelhoog vuur. De sjalot mag een beetje bruin worden, maar let op dat hij niet verbrandt. Blijf goed omscheppen en zet het vuur eventueel lager. Voeg al roerend de fond toe. Breng met de rozemarijn aan de kook en laat de jus 5 min. zachtjes koken. Verwijder de rozemarijn. Voeg de mosterd en slagroom toe, roer door, breng aan de kook en laat 5 min. zachtjes koken. Breng op smaak met peper en eventueel zout. Voeg eventueel wat water toe als de saus te dik is. Haal het gehaktbrood uit de oven en laat 10 min. rusten.', 'Giet het vrijgekomen kookvocht uit de bakvorm in een kommetje, dit gebruik je niet. Keer het gehaktbrood voorzichtig om op een serveerschaal en schenk de mosterdsaus erover. Verdeel de cremaceto met een zigzaggende beweging over de krans. Decoreer de krans met de rest van de rozemarijn.']",https://static.ah.nl/static/recepten/img_RAM_PRD183673_1224x900_JPG.jpg
Mini-bloemkooltaartje met kaas,https://www.ah.nl/allerhande/recept/R-R1199532/mini-bloemkooltaartje-met-kaas,35 min. bereiden,1 uur 15 min. oventijd,0.0,"['vegetarisch', 'vooraf te maken', 'oven', 'hoofdgerecht', 'kerst', 'kerstdiner', 'vegetarische kerst']",4 personen,"[('170 g', 'ongezouten roomboter'), ('100 g', 'oude kaas 48+'), ('250 g', 'tarwebloem'), ('½ tl', 'zout'), ('½ tl', 'kristalsuiker'), ('50 ml', 'ijskoud water'), ('4', 'middelgrote uien'), ('2 el', 'milde olijfolie'), ('1 tl', 'komijnzaad'), ('6', 'scharreleieren'), ('200 g', 'crème fraîche'), ('4', 'mini-bloemkolen')]","['keukenmachine', 'vershoudfolie', 'deegroller', 'kleine springvorm (12 cm, ingevet)', 'bakpapier', 'blindbakvulling', 'aluminiumfolie']","['Snijd de boter in blokjes en leg 10 min. in de vriezer. Rasp ondertussen de kaas grof.', 'Doe de bloem met het zout, de suiker en de helft van de geraspte kaas in de keukenmachine en mix kort. Voeg de koude boter toe en mix alles met korte pulsen tot een fijn en kruimelig deeg. Blijf het kruimelige deeg in korte pulsen mixen en schenk ondertussen het ijswater erbij. Stop zodra je een samenhangend deeg hebt. Vorm snel met koude handen een rechthoek van het deeg en verpak in vershoudfolie. Laat minimaal 30 min. in de koelkast rusten.', 'Snijd ondertussen de uien in dunne halve ringen. Verhit de olie in een hapjespan en bak de ui 10 min. tot gekaramelliseerd en zacht. Voeg na 5 min. het komijnzaad toe. Klop de eieren los en meng met de gekaramelliseerde ui, crème fraîche en de rest van de kaas. Breng op smaak met peper en eventueel zout.', 'Verwarm de oven voor op 190 °C. Haal het deeg uit de koelkast en rol op een met bloem bestoven werkblad uit tot een lap van 30 x 30 cm. Snijd het deeg in 4 gelijke stukken (per 4 personen).', 'Bekleed de bodems van de springvormen met een stukje bakpapier. Bekleed de bodem en randen met het deeg. Snijd overtollig deeg af, dit gebruik je niet. Prik de bodems een aantal keer in met een vork. Bekleed het deeg met een tweede vel bakpapier en vul met de blindbakvulling. Bak de taartbodem ca. 15 min. in de oven.', 'Snijd een ½ cm van de onderkant van de mini-bloemkolen, zodat ze beter blijven staan, en verwijder de groene bladeren.', 'Haal de taartbodems uit de oven, verwijder de blindbakvulling en het bovenste vel bakpapier. Verdeel het eimengsel over de bodems. Leg een mini-bloemkool in het midden en dek af met aluminiumfolie. Bak de taartjes ca. 1 uur in de oven. Verwijder de folie na 45 min. en verhoog de oventemperatuur naar 200 °C.', 'Haal de hartige taartjes uit de oven en laat 5 min. rusten in de bakvormen. Verwijder de bakvormen en verdeel de taartjes over de borden.']",https://static.ah.nl/static/recepten/img_RAM_PRD183707_1224x900_JPG.jpg
Biefstuk met truffel-parmezaanboter en gepofte rode ui,https://www.ah.nl/allerhande/recept/R-R1199531/biefstuk-met-truffel-parmezaanboter-en-gepofte-rode-ui,20 min. bereiden,30 min. oventijd,4.0,"['glutenvrij', 'vooraf te maken', 'oven', 'hoofdgerecht', 'kerst', '5 ingrediënten', 'kerstdiner']",4 personen,"[('4', 'AH Excellent biefstukken'), ('75 g', 'ongezouten roomboter'), ('4', 'rode uien'), ('3 el', 'milde olijfolie'), ('50 g', 'Parmigiano Reggiano'), ('½ el', 'paddenstoelen-truffeltapenade')]","['aluminiumfolie', 'bakpapier', 'vershoudfolie']","['Verwarm de oven voor op 180 °C. Laat de biefstukken en roomboter op kamertemperatuur komen. Snijd de bovenste puntjes van de uien af, maar schil de uien niet. Snijd de uien in kwarten, maar niet helemaal door. Besprenkel ze met ⅙ van de olie. Wikkel de uien in aluminiumfolie, verdeel over een met bakpapier beklede bakplaat en pof ze ca. 30 min. in de oven.', 'Rasp ondertussen de Parmezaanse kaas. Meng de boter met de kaas en tapenade. Breng op smaak met peper en eventueel zout.', 'Schep de truffel-parmezaanboter op een stuk vershoudfolie en vorm er met behulp van de folie een rolletje van. Draai de folie aan beide uiteinden dicht en laat de boter in de koelkast opstijven.', 'Dep het vlees droog met keukenpapier. Verwarm een koekenpan met de rest van de olie op hoog vuur en bak de biefstukken in 3-4 min. medium rare. Keer halverwege. Haal uit de pan en laat 5 min. op een bord rusten onder aluminiumfolie.', 'Haal de uien uit de oven, verdeel over de borden en open de bovenkant van de folie. Snijd de truffel-parmezaanboter in 4 stukjes (per 4 personen). Snijd de biefstukken in plakjes en verdeel over de borden. Breng op smaak met peper en eventueel zout. Leg er een plakje truffel-parmezaanboter op.']",https://static.ah.nl/static/recepten/img_RAM_PRD183654_1224x900_JPG.jpg
Bietstuk met zoete-aardappelpuree en rozenharissa,https://www.ah.nl/allerhande/recept/R-R1199530/bietstuk-met-zoete-aardappelpuree-en-rozenharissa,25 min. bereiden,,3.5,"['veganistisch', 'lactosevrij', 'glutenvrij', 'hoofdgerecht', 'kerst', 'grillen', '5 ingrediënten', 'kerstdiner']",4 personen,"[('750 g', 'zoete aardappelen'), ('4', 'AH Excellent biologische bietstukken'), ('90 ml', 'extra vierge olijfolie'), ('1 el', 'baharat'), ('2 el', 'Souq rozenharissa'), ('4 el', 'verse granaatappelpitjes')]","['grillpan', 'pureestamper']","['Schil de zoete aardappelen en snijd in gelijke stukken. Kook in 15 min. gaar.', 'Verhit ondertussen de grillpan zonder olie of boter en gril de bietstukken 12 min. Keer halverwege. Verhit ⅔ van de olie in een kleine steelpan op laag vuur. Verwarm hierin de baharat 5 min. tot het begint te geuren.', 'Giet de zoete aardappel af, bewaar een kopje van het kookvocht. Voeg de specerijenolie toe en stamp grof met de pureestamper. Breng op smaak met peper en eventueel zout. Meng ⅙ van de olie met de harissa. Snijd de bietstukken in plakken.', 'Verdeel de puree over de borden en leg de bietstuk in het midden. Besprenkel de puree met de rozenharissaolie en bestrooi met de granaatappelpitjes. Verdeel de rest van de olie over de bietstuk. Bestrooi met peper en eventueel zout.']",https://static.ah.nl/static/recepten/img_RAM_PRD183668_1224x900_JPG.jpg
Kabeljauw met pistachekorst en paddenstoelen ,https://www.ah.nl/allerhande/recept/R-R1199529/kabeljauw-met-pistachekorst-en-paddenstoelen,35 min. bereiden,10 min. oventijd,3.5,"['gezond', 'oven', 'hoofdgerecht', 'kerst', 'kerstdiner']",4 personen,"[('500 g', 'iets kruimige aardappelen'), ('15 g', 'verse dille'), ('50 g', 'gepelde pistachenoten'), ('2 el', 'milde olijfolie'), ('4', 'kabeljauwhaasjes'), ('125 g', 'shiitake'), ('300 g', 'diepvries tuinerwten'), ('1', 'citroen'), ('100 g', 'zuivelspread naturel')]","['bakpapier', 'staafmixer', 'pureestamper of pureeknijper']","['Verwarm de oven voor op 180 °C. Schil de aardappelen en snijd in gelijke stukken. Kook in 20 min. gaar.', 'Snijd ⅔ van de dille heel fijn. Snijd de rest van de dille grof, zodat je mooie pluimpjes krijgt. Hak de pistachenoten fijn. Meng de fijngesneden dille, pistache en de helft van de olie door elkaar. Spoel de kabeljauw onder koud stromend water en dep goed droog. Breng op smaak met peper en eventueel zout. Verdeel de filets over een met bakpapier beklede bakplaat en verdeel de pistache-kruim erover. Druk goed aan. Bak in de oven in 8-10 min. gaar.', 'Snijd de shiitake in stukken. Verhit de rest van de olie in een koekenpan en bak de shiitake 5 min. op hoog vuur. Doe de tuinerwten in een kom, giet er kokend water over en laat 1 min. staan. Boen de citroen schoon, rasp de gele schil en pers de vrucht uit. Giet de erwten af en voeg de zuivelspread, het citroenrasp en 2 el -sap (per 4 personen) toe. Pureer glad met de staafmixer.', 'Giet de aardappelen af, vang 50 ml (per 4 personen) van het kookvocht op. Pureer de aardappelen met de pureestamper of -knijper en meng de erwtenpuree en het kookvocht erdoor.', 'Verdeel de puree over diepe borden en leg de kabeljauw in het midden. Verdeel de gebakken shiitake over en rondom de puree. Garneer met de pluimpjes dille.']",https://static.ah.nl/static/recepten/img_RAM_PRD183693_1224x900_JPG.jpg
"Cannelloni met zalm, garnaaltjes, spinazie en saffraansaus ",https://www.ah.nl/allerhande/recept/R-R1199528/cannelloni-met-zalm-garnaaltjes-spinazie-en-saffraansaus,25 min. bereiden,,4.5,"['vooraf te maken', 'pasta', 'hoofdgerecht', 'kerst', 'koken', 'kerstdiner']",4 personen,"[('2', 'sjalotten'), ('15 g', 'ongezouten roomboter'), ('50 mg', 'saffraan'), ('1 el', 'heet water'), ('100 ml', 'droge witte wijn'), ('200 ml', 'verse slagroom'), ('8 vellen', 'verse lasagnebladen'), ('100 g', 'gerookte zalm'), ('250 ml', 'ricotta'), ('12.5 g', 'verse bieslook'), ('1 tl', 'venkelzaad'), ('200 g', 'verse Hollandse garnalen'), ('2 el', 'milde olijfolie'), ('400 g', 'verse spinazie')]",['staafmixer met hoge beker'],"['Snipper de sjalotten. Smelt de boter in een steelpan op laag vuur en fruit de sjalot in 2 min. zacht. Verkruimel de saffraan tussen je vingers en meng met het hete water. Voeg de wijn toe aan de sjalot, breng aan de kook en laat 1 min. inkoken. Voeg de saffraan met aanhangend water en de slagroom toe en laat 15 min. zachtjes koken. Breng op smaak met peper en eventueel zout. Pureer glad met de staafmixer.', 'Kook ondertussen de lasagnevellen in een pan met ruim water en eventueel zout in delen in 4 min. beetgaar.', 'Doe de zalm en ricotta in de hoge beker van de staafmixer en pureer glad. Snijd de bieslook fijn en schep met het venkelzaad door de vulling. Spoel de garnalen onder koud stromend water, dep droog en schep ¾ ervan door de vulling. Verhit de helft van de olie in een koekenpan en verwarm de vulling 2-3 min. op laag vuur. Leg telkens 2 el van de vulling op een lasagnevel en rol op als een cannelloni. Houd de cannelloni lauwwarm onder een bord.', 'Verhit de rest van de olie in een grote hapjespan en sauteer (kort aanbakken) de spinazie in delen tot hij grotendeels geslonken is. Verdeel de spinazie over borden (houd 2 el per 4 personen apart) en leg de cannelloni erop. Schenk de saffraansaus erover en verdeel in het midden de achtergehouden spinazie erover. Verdeel de rest van de garnalen erover.']",https://static.ah.nl/static/recepten/img_RAM_PRD183663_1224x900_JPG.jpg
